iteration,roundtrip_seconds,roundtrip_microseconds,message_bytes
1,3.00000011e-06,3,4
2,2.59999979e-06,2,4
3,2.90000025e-06,2,4
4,2.59999979e-06,2,4
5,2.49999994e-06,2,4
6,2.7000001e-06,2,4
7,2.59999979e-06,2,4
8,2.7000001e-06,2,4
9,2.49999994e-06,2,4
10,2.7000001e-06,2,4
11,2.7000001e-06,2,4
12,2.40000008e-06,2,4
13,2.60000024e-06,2,4
14,2.90000025e-06,2,4
15,2.69999964e-06,2,4
16,2.49999994e-06,2,4
17,3.09999996e-06,3,4
18,2.7000001e-06,2,4
19,2.59999979e-06,2,4
20,2.49999994e-06,2,4
21,2.7000001e-06,2,4
22,2.79999995e-06,2,4
23,2.8999998e-06,2,4
24,2.49999994e-06,2,4
25,2.40000008e-06,2,4
26,2.40000008e-06,2,4
27,2.7000001e-06,2,4
28,2.60000024e-06,2,4
29,2.40000008e-06,2,4
30,2.40000008e-06,2,4
31,2.8999998e-06,2,4
32,2.49999994e-06,2,4
33,2.79999995e-06,2,4
34,2.49999994e-06,2,4
35,3.00000011e-06,3,4
36,2.49999994e-06,2,4
37,2.39999963e-06,2,4
38,2.40000008e-06,2,4
39,2.49999994e-06,2,4
40,7.0000001e-06,7,4
41,2.63000002e-05,26,4
42,5.80000005e-06,5,4
43,9.00000032e-07,0,4
44,9.00000032e-07,0,4
45,8.0000018e-07,0,4
46,6.99999873e-07,0,4
47,6.00000021e-07,0,4
48,7.00000328e-07,0,4
49,7.99999725e-07,0,4
50,8.0000018e-07,0,4
51,7.99999725e-07,0,4
52,7.99999725e-07,0,4
53,6.99999873e-07,0,4
54,8.0000018e-07,0,4
55,8.0000018e-07,0,4
56,6.99999873e-07,0,4
57,8.0000018e-07,0,4
58,8.0000018e-07,0,4
59,9.00000032e-07,0,4
60,6.99999873e-07,0,4
61,6.99999873e-07,0,4
62,6.99999873e-07,0,4
63,8.0000018e-07,0,4
64,7.00000328e-07,0,4
65,6.99999873e-07,0,4
66,6.99999873e-07,0,4
67,8.0000018e-07,0,4
68,6.99999873e-07,0,4
69,7.00000328e-07,0,4
70,6.99999873e-07,0,4
71,8.0000018e-07,0,4
72,6.99999873e-07,0,4
73,6.00000021e-07,0,4
74,7.00000328e-07,0,4
75,7.99999725e-07,0,4
76,7.99999725e-07,0,4
77,8.0000018e-07,0,4
78,8.0000018e-07,0,4
79,6.99999873e-07,0,4
80,6.99999873e-07,0,4
