size_bytes,trial,recv_seconds,recv_microseconds,work_iters_done
1,1,0.0002009,200,20000
1,2,0.000164,163,20000
1,3,0.0001603,160,20000
1,4,0.0001599,159,20000
1,5,0.0001598,159,20000
1,6,0.0001599,159,20000
1,7,0.0001599,159,20000
1,8,0.0001598,159,20000
1,9,0.0001599,159,20000
1,10,0.0001601,160,20000
1,11,0.0001744,174,20000
1,12,0.0001603,160,20000
1,13,0.0001598,159,20000
1,14,0.0001599,159,20000
1,15,0.0002782,278,20000
1,16,0.0001601,160,20000
1,17,0.0001599,159,20000
1,18,0.0001599,159,20000
1,19,0.0001599,159,20000
1,20,0.00016,160,20000
1,21,0.0001599,159,20000
1,22,0.0001598,159,20000
1,23,0.000172399,172,20000
1,24,0.0001603,160,20000
1,25,0.0002049,204,20000
1,26,0.000225,225,20000
1,27,0.0001772,177,20000
1,28,0.00016,160,20000
1,29,0.0001606,160,20000
1,30,0.0001845,184,20000
8,1,0.000296,295,20000
8,2,0.000196,195,20000
8,3,0.0001601,160,20000
8,4,0.0002208,220,20000
8,5,0.0001761,176,20000
8,6,0.0001602,160,20000
8,7,0.00016,160,20000
8,8,0.0001599,159,20000
8,9,0.0001606,160,20000
8,10,0.00016,160,20000
8,11,0.0001599,159,20000
8,12,0.0001591,159,20000
8,13,0.0001595,159,20000
8,14,0.0001591,159,20000
8,15,0.000159,158,20000
8,16,0.0002725,272,20000
8,17,0.0002032,203,20000
8,18,0.000207,206,20000
8,19,0.0002932,293,20000
8,20,0.0002115,211,20000
8,21,0.0002311,231,20000
8,22,0.0004382,438,20000
8,23,0.000309,309,20000
8,24,0.0001592,159,20000
8,25,0.000159,159,20000
8,26,0.000159,158,20000
8,27,0.000159,158,20000
8,28,0.000159,158,20000
8,29,0.000159,158,20000
8,30,0.0001965,196,20000
64,1,0.0002068,206,20000
64,2,0.0002453,245,20000
64,3,0.0002164,216,20000
64,4,0.0001993,199,20000
64,5,0.0002502,250,20000
64,6,0.0001592,159,20000
64,7,0.000172,172,20000
64,8,0.0001976,197,20000
64,9,0.0001676,167,20000
64,10,0.0001592,159,20000
64,11,0.0001592,159,20000
64,12,0.000159,158,20000
64,13,0.0001594,159,20000
64,14,0.0001593,159,20000
64,15,0.000159,158,20000
64,16,0.000159,159,20000
64,17,0.0001591,159,20000
64,18,0.0001591,159,20000
64,19,0.0001703,170,20000
64,20,0.0001592,159,20000
64,21,0.0001976,197,20000
64,22,0.0002767,276,20000
64,23,0.0001876,187,20000
64,24,0.0002044,204,20000
64,25,0.0002198,219,20000
64,26,0.0004102,410,20000
64,27,0.0001755,175,20000
64,28,0.0002349,234,20000
64,29,0.0002421,242,20000
64,30,0.0002471,247,20000
512,1,0.000273,273,20000
512,2,0.0001964,196,20000
512,3,0.0002199,219,20000
512,4,0.0002557,255,20000
512,5,0.0001764,176,20000
512,6,0.0002428,242,20000
512,7,0.000276499,276,20000
512,8,0.0001594,159,20000
512,9,0.0001592,159,20000
512,10,0.0001591,159,20000
512,11,0.0001591,159,20000
512,12,0.0001589,158,20000
512,13,0.000159,158,20000
512,14,0.000159,159,20000
512,15,0.000159,158,20000
512,16,0.0001589,158,20000
512,17,0.000159,158,20000
512,18,0.0001718,171,20000
512,19,0.0001591,159,20000
512,20,0.000159,158,20000
512,21,0.0001591,159,20000
512,22,0.0001592,159,20000
512,23,0.000159,158,20000
512,24,0.000159,159,20000
512,25,0.0001591,159,20000
512,26,0.0001591,159,20000
512,27,0.000159,158,20000
512,28,0.0001591,159,20000
512,29,0.000159,158,20000
512,30,0.0002907,290,20000
4096,1,0.0001603,160,20000
4096,2,0.0001658,165,20000
4096,3,0.0001604,160,20000
4096,4,0.0001604,160,20000
4096,5,0.0001603,160,20000
4096,6,0.0001603,160,20000
4096,7,0.0001602,160,20000
4096,8,0.0001604,160,20000
4096,9,0.0001885,188,20000
4096,10,0.0001607,160,20000
4096,11,0.0001603,160,20000
4096,12,0.0001603,160,20000
4096,13,0.0001604,160,20000
4096,14,0.0001638,163,20000
4096,15,0.0002211,221,20000
4096,16,0.0002399,239,20000
4096,17,0.0002093,209,20000
4096,18,0.0002053,205,20000
4096,19,0.0002108,210,20000
4096,20,0.0003016,301,20000
4096,21,0.0002327,232,20000
4096,22,0.000258199,258,20000
4096,23,0.0002081,208,20000
4096,24,0.0001828,182,20000
4096,25,0.0002431,243,20000
4096,26,0.0002367,236,20000
4096,27,0.0002343,234,20000
4096,28,0.0002366,236,20000
4096,29,0.0002217,221,20000
4096,30,0.0002171,217,20000
32768,1,0.0002008,200,20000
32768,2,0.00025,250,20000
32768,3,0.0002833,283,20000
32768,4,0.0002854,285,20000
32768,5,0.0002142,214,20000
32768,6,0.0001759,175,20000
32768,7,0.0001748,174,20000
32768,8,0.0001904,190,20000
32768,9,0.0001895,189,20000
32768,10,0.0001746,174,20000
32768,11,0.0001745,174,20000
32768,12,0.0001747,174,20000
32768,13,0.0001744,174,20000
32768,14,0.0001743,174,20000
32768,15,0.000175,174,20000
32768,16,0.0002143,214,20000
32768,17,0.0002613,261,20000
32768,18,0.0002672,267,20000
32768,19,0.0002188,218,20000
32768,20,0.0002508,250,20000
32768,21,0.0002147,214,20000
32768,22,0.0001886,188,20000
32768,23,0.0001754,175,20000
32768,24,0.0001785,178,20000
32768,25,0.000175,174,20000
32768,26,0.0001781,178,20000
32768,27,0.0001746,174,20000
32768,28,0.0001766,176,20000
32768,29,0.000196199,196,20000
32768,30,0.0001829,182,20000
262144,1,0.0008953,895,100000
262144,2,0.0009209,920,100000
262144,3,0.0009146,914,100000
262144,4,0.000888699,888,100000
262144,5,0.0009331,933,100000
262144,6,0.0009032,903,100000
262144,7,0.0011439,1143,100000
262144,8,0.0009532,953,100000
262144,9,0.0010482,1048,100000
262144,10,0.0009985,998,100000
262144,11,0.0008764,876,100000
262144,12,0.0008728,872,100000
262144,13,0.0012624,1262,100000
